slug,model,missing_core_count,items_total,missing_core_items,empty_boards,reason
gpt-4o-2024-08-06,GPT-4o (Aug),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
gpt-4o-chatgpt,GPT-4o (ChatGPT),6,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work; hard-reasoning,board_missing_all; missing_at_least_four
gpt-4o-chatgpt-03-25,GPT-4o (Mar),7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
gpt-4o-mini,GPT-4o mini,6,8,SciCode; AutomationBench-AA; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
gpt-4o-mini-realtime-dec-2024,GPT-4o mini Realtime (Dec),8,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; Humanity's Last Exam; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_all; missing_at_least_four
gpt-4o-realtime-dec-2024,GPT-4o Realtime (Dec),8,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; Humanity's Last Exam; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_all; missing_at_least_four
gpt-5-5-instant-05-26,GPT-5.5 Instant (May 2026),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
gpt-5-chatgpt,GPT-5 (ChatGPT),6,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work; hard-reasoning,board_missing_all; missing_at_least_four
granite-3-3-8b-instruct,Granite 3.3 8B,5,8,SciCode; AutomationBench-AA; τ³-Banking; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_all; missing_at_least_four
granite-4-0-350m,Granite 4.0 350M,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
granite-4-0-h-350m,Granite 4.0 H 350M,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
granite-4-0-h-nano-1b,Granite 4.0 H 1B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
granite-4-0-h-small,Granite 4.0 H Small,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
granite-4-0-micro,Granite 4.0 Micro,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
granite-4-0-nano-1b,Granite 4.0 1B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
granite-4-1-30b,Granite 4.1 30B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
granite-4-1-3b,Granite 4.1 3B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
granite-4-1-8b,Granite 4.1 8B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
grok-1,Grok-1,8,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; Humanity's Last Exam; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_all; missing_at_least_four
grok-2-1212,Grok 2,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
grok-3,Grok 3,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
grok-3-reasoning,Grok 3 Reasoning Beta,8,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; Humanity's Last Exam; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_all; missing_at_least_four
grok-4,Grok 4,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
grok-4-1-fast-reasoning,Grok 4.1 Fast,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
grok-4-20,Grok 4.20 0309 v2,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
grok-4-20-0309,Grok 4.20 0309,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
grok-4-fast-reasoning,Grok 4 Fast,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
grok-beta,Grok Beta,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
grok-build-0-1-06-16,Grok Build 0.1 0616,3,8,SciCode; AutomationBench-AA; GDP.pdf,coding,board_missing_all
grok-code-fast-1,Grok Code Fast 1,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
hermes-3-llama-3-1-70b,Hermes 3 - Llama-3.1 70B,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
hermes-4-llama-3-1-405b-reasoning,Hermes 4 405B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
hermes-4-llama-3-1-70b-reasoning,Hermes 4 70B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
hy3-preview,Hy3-preview,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
hyperclova-x-seed-think-32b,HyperCLOVA X SEED Think (32B),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
intellect-3,INTELLECT-3,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
jamba-1-5-large,Jamba 1.5 Large,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
jamba-1-5-mini,Jamba 1.5 Mini,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
jamba-1-6-large,Jamba 1.6 Large,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
jamba-1-6-mini,Jamba 1.6 Mini,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
jamba-1-7-large,Jamba 1.7 Large,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
jamba-1-7-mini,Jamba 1.7 Mini,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
jamba-reasoning-3b,Jamba Reasoning 3B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
jt-35b-flash,JT-35B-Flash,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
jt-4-1-flash-236b-a21b,JT-4.1 Flash 236B A21B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
jt-mini,JT-MINI,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
k-exaone,K-EXAONE,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
k2-think-v2,K2 Think V2,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
kat-coder-pro-v1,KAT-Coder-Pro V1,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
kat-coder-pro-v2,KAT-Coder-Pro V2,3,8,SciCode; AutomationBench-AA; GDP.pdf,coding,board_missing_all
kimi-k2,Kimi K2,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
kimi-k2-0905,Kimi K2 0905,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
kimi-k2-5,Kimi K2.5,3,8,SciCode; AutomationBench-AA; GDP.pdf,coding,board_missing_all
kimi-k2-thinking,Kimi K2 Thinking,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
kimi-linear-48b-a3b-instruct,Kimi Linear 48B A3B Instruct,6,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work; hard-reasoning,board_missing_all; missing_at_least_four
lfm-40b,LFM 40B,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
lfm2-1-2b,LFM2 1.2B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
lfm2-2-6b,LFM2 2.6B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
lfm2-24b-a2b,LFM2 24B A2B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
lfm2-5-1-2b-instruct,LFM2.5-1.2B-Instruct,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
lfm2-5-1-2b-thinking,LFM2.5-1.2B-Thinking,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
lfm2-5-8b-a1b,LFM2.5-8B-A1B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
lfm2-5-vl-1-6b,LFM2.5-VL-1.6B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
lfm2-8b-a1b,LFM2 8B A1B,5,8,SciCode; AutomationBench-AA; τ³-Banking; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_all; missing_at_least_four
ling-1t,Ling-1T,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
ling-2-6-1t,Ling-2.6-1T,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
ling-2-6-flash,Ling 2.6 Flash,3,8,SciCode; AutomationBench-AA; GDP.pdf,coding,board_missing_all
ling-flash-2-0,Ling-flash-2.0,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
ling-mini-2-0,Ling-mini-2.0,5,8,SciCode; AutomationBench-AA; τ³-Banking; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_all; missing_at_least_four
llama-2-chat-13b,Llama 2 Chat 13B,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
llama-2-chat-70b,Llama 2 Chat 70B,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
llama-2-chat-7b,Llama 2 Chat 7B,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
llama-3-1-instruct-405b,Llama 3.1 405B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
llama-3-1-instruct-70b,Llama 3.1 70B,5,8,SciCode; AutomationBench-AA; τ³-Banking; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_all; missing_at_least_four
llama-3-1-instruct-8b,Llama 3.1 8B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
llama-3-1-nemotron-instruct-70b,Llama 3.1 Nemotron 70B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
llama-3-1-nemotron-nano-4b-reasoning,Llama 3.1 Nemotron Nano 4B v1.1,6,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work; hard-reasoning,board_missing_all; missing_at_least_four
llama-3-1-nemotron-ultra-253b-v1-reasoning,Llama Nemotron Ultra,5,8,SciCode; AutomationBench-AA; τ³-Banking; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_all; missing_at_least_four
llama-3-2-instruct-11b-vision,Llama 3.2 11B (Vision),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
llama-3-2-instruct-1b,Llama 3.2 1B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
llama-3-2-instruct-3b,Llama 3.2 3B,6,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work; hard-reasoning,board_missing_all; missing_at_least_four
llama-3-2-instruct-90b-vision,Llama 3.2 90B (Vision),7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
llama-3-3-instruct-70b,Llama 3.3 70B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
llama-3-3-nemotron-super-49b-reasoning,Llama 3.3 Nemotron Super 49B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
llama-3-instruct-70b,Llama 3 70B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
llama-3-instruct-8b,Llama 3 8B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
llama-65b,Llama 65B,8,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; Humanity's Last Exam; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_all; missing_at_least_four
llama-nemotron-super-49b-v1-5-reasoning,Llama Nemotron Super 49B v1.5,5,8,SciCode; AutomationBench-AA; τ³-Banking; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_all; missing_at_least_four
longcat-flash-lite,LongCat Flash Lite,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
magistral-medium-2509,Magistral Medium 1.2,3,8,SciCode; AutomationBench-AA; GDP.pdf,coding,board_missing_all
magistral-small,Magistral Small 1,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
magistral-small-2509,Magistral Small 1.2,2,8,SciCode; GDP.pdf,coding,board_missing_all
mi-dm-k-2-5-pro-dec28,Mi:dm K 2.5 Pro,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
midm-250-pro-rsnsft,Mi:dm K 2.5 Pro Preview,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
mimo-v2-0206,MiMo-V2-Flash (Feb 2026),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
mimo-v2-flash-reasoning,MiMo-V2-Flash,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
mimo-v2-omni,MiMo-V2-Omni,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
mimo-v2-omni-0327,MiMo-V2-Omni-0327,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
mimo-v2-pro,MiMo-V2-Pro,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
minicpm-v4-6-1-3b,MiniCPM-V 4.6 1.3B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
minicpm5-1b,MiniCPM5-1B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
minimax-m1-40k,MiniMax M1 40k,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
minimax-m1-80k,MiniMax M1 80k,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
minimax-m2,MiniMax-M2,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
minimax-m2-1,MiniMax-M2.1,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
minimax-m2-5,MiniMax-M2.5,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
mistral-7b-instruct,Mistral 7B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
mistral-8x22b-instruct,Mixtral 8x22B,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
mistral-large,Mistral Large (Feb),7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
mistral-large-2,Mistral Large 2 (Nov),5,8,SciCode; AutomationBench-AA; τ³-Banking; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_all; missing_at_least_four
mistral-large-2407,Mistral Large 2 (Jul),6,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work; hard-reasoning,board_missing_all; missing_at_least_four
mistral-medium-3,Mistral Medium 3,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
mistral-saba,Mistral Saba,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
mistral-small,Mistral Small (Sep),7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
mistral-small-2402,Mistral Small (Feb),7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
mistral-small-3,Mistral Small 3,6,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work; hard-reasoning,board_missing_all; missing_at_least_four
mixtral-8x7b-instruct,Mixtral 8x7B,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
molmo-7b-d,Molmo 7B-D,6,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work; hard-reasoning,board_missing_all; missing_at_least_four
molmo2-8b,Molmo2-8B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
motif-0714,Motif 3 (Beta),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
motif-2-12-7b,Motif-2-12.7B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
muse-spark,Muse Spark,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
nanbeige4-1-3b,Nanbeige4.1-3B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
nemotron-3-nano-omni-30b-a3b,Nemotron 3 Nano Omni 30B A3B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
nemotron-cascade-2-30b-a3b,Nemotron Cascade 2 30B A3B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
nova-lite,Nova Lite,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
nova-micro,Nova Micro,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
nova-premier,Nova Premier,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
nova-pro,Nova Pro,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
nvidia-nemotron-3-nano-4b,Nemotron 3 Nano 4B,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
nvidia-nemotron-nano-12b-v2-vl-reasoning,NVIDIA Nemotron Nano 12B v2 VL,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
nvidia-nemotron-nano-9b-v2-reasoning,NVIDIA Nemotron Nano 9B V2,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
o1,o1,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
o1-mini,o1-mini,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
o1-preview,o1-preview,8,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; Humanity's Last Exam; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_all; missing_at_least_four
o1-pro,o1-pro,8,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; Humanity's Last Exam; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_all; missing_at_least_four
o3,o3,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
o3-pro,o3-pro,8,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; Humanity's Last Exam; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_all; missing_at_least_four
olmo-2-32b,OLMo 2 32B,6,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work; hard-reasoning,board_missing_all; missing_at_least_four
olmo-2-7b,OLMo 2 7B,6,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work; hard-reasoning,board_missing_all; missing_at_least_four
olmo-3-1-32b-instruct,Olmo 3.1 32B Instruct,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
olmo-3-1-32b-think,Olmo 3.1 32B Think,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
