rank,model,creator,slug,variant_group,evidence_tier,twopl_score,lcb_score_sensitivity,lcb_rank_sensitivity,unique_benchmark_families,board_test_slots_total,min_board_tests,boards_below_main_target,mean_board_se,max_board_se,coding_tests,coding_score,agentic-tool-work_tests,agentic-tool-work_score,hard-reasoning_tests,hard-reasoning_score,knowledge-science_tests,knowledge-science_score,instruction-context_tests,instruction-context_score
130,Gemma 4 E4B,Google,gemma-4-e4b,gemma 4 e4b,Provisional,24.6669,19.7428,130,9,15,2,2,0.2707,0.3641,2,5.582,2,23.166,3,27.89,5,24.054,3,45.96
131,Mistral Small 3.2,Mistral,mistral-small-3-2,mistral small 3 2,Provisional,24.4527,19.377,131,10,16,2,2,0.2604,0.3641,2,16.657,2,26.298,4,21.66,5,27.228,3,30.914
132,Llama 4 Scout,Meta,llama-4-scout,llama 4 scout,Provisional,23.4175,18.7451,133,10,16,2,2,0.2604,0.3641,2,7.432,2,27.372,4,17.394,5,26.804,3,40.573
133,Ministral 3 8B,Mistral,ministral-3-8b,ministral 3 8b,Provisional,22.9632,18.1927,134,10,16,2,2,0.2604,0.3641,2,10.076,2,27.341,4,22.534,5,20.722,3,35.572
134,Granite 4.1 30B,IBM,granite-4-1-30b,granite 4 1 30b,Provisional,22.7357,17.8082,135,8,14,2,2,0.2729,0.3641,2,8.341,2,20.17,3,24.978,4,26.268,3,35.562
135,NVIDIA Nemotron 3 Nano 4B,NVIDIA,nvidia-nemotron-3-nano-4b,nvidia nemotron 3 nano 4b,Provisional,22.5638,17.6983,136,8,14,2,2,0.2729,0.3641,2,7.162,2,22.021,3,27.782,4,20.306,3,37.587
136,Nanbeige4.1-3B,Nanbeige,nanbeige4-1-3b,nanbeige4 1 3b,Provisional,22.2563,19.2876,132,8,14,2,2,0.2729,0.3641,2,3.601,2,2.048,3,59.595,4,55.352,3,4.196
137,Llama 3.3 70B,Meta,llama-3-3-instruct-70b,llama 3 3 70b,Provisional,21.7722,17.1125,137,9,15,2,2,0.2626,0.3641,2,14.629,2,23.246,4,10.903,4,29.076,3,32.398
138,GPT-4.1 nano,OpenAI,gpt-4-1-nano,gpt 4 1 nano,Provisional,21.4059,16.7684,138,10,16,2,2,0.2604,0.3641,2,11.63,2,22.239,4,19.961,5,23.823,3,30.128
139,Qwen3 14B,Alibaba,qwen3-14b-instruct-reasoning,qwen3 14b,Provisional,19.2076,15.601,139,9,15,2,2,0.2626,0.3641,2,17.742,2,5.377,4,36.564,4,35.832,3,4.594
140,Granite 4.1 8B,IBM,granite-4-1-8b,granite 4 1 8b,Provisional,18.8645,14.4059,140,8,14,2,2,0.2729,0.3641,2,8.745,2,17.862,3,21.896,4,20.15,3,26.406
141,Gemma 4 E2B,Google,gemma-4-e2b,gemma 4 e2b,Provisional,16.4863,12.6246,141,9,15,2,2,0.2707,0.3641,2,2.248,2,11.52,3,24.199,5,16.668,3,29.807
142,Gemma 3 27B,Google,gemma-3-27b,gemma 3 27b,Provisional,15.762,12.0178,143,10,16,2,2,0.2604,0.3641,2,11.094,2,13.874,4,17.464,5,21.419,3,15.219
143,Qwen3.5 2B,Alibaba,qwen3-5-2b,qwen3 5 2b,Provisional,15.5482,12.106,142,9,15,2,2,0.2707,0.3641,2,0.649,2,24.088,3,17.328,5,3.263,3,36.123
144,Ministral 3 3B,Mistral,ministral-3-3b,ministral 3 3b,Provisional,12.3681,9.3178,145,10,16,2,2,0.2604,0.3641,2,1.321,2,9.881,4,17.003,5,12.15,3,22.629
145,Qwen3 8B,Alibaba,qwen3-8b-instruct-reasoning,qwen3 8b,Provisional,11.9325,9.3374,144,9,15,2,2,0.2626,0.3641,2,6.115,2,3.285,4,20.017,4,28.384,3,4.043
146,Llama 3.1 8B,Meta,llama-3-1-instruct-8b,llama 3 1 8b,Provisional,11.5375,8.6535,146,9,15,2,2,0.2626,0.3641,2,1.975,2,14.335,4,5.593,4,9.847,3,27.647
147,Gemma 3 12B,Google,gemma-3-12b,gemma 3 12b,Provisional,10.928,8.1326,147,10,16,2,2,0.2604,0.3641,2,1.726,2,6.982,4,14.635,5,14.031,3,18.066
148,Phi-4 Mini,Microsoft,phi-4-mini,phi 4 mini,Provisional,10.2046,7.5408,148,9,15,2,2,0.2626,0.3641,2,0.88,2,10.884,4,7.692,4,9.708,3,23.0
149,MiniCPM-V 4.6 1.3B,OpenBMB,minicpm-v4-6-1-3b,minicpm v 4 6 1 3b,Provisional,8.6012,6.2212,149,9,15,2,2,0.2707,0.3641,2,0.072,2,6.759,3,18.897,5,3.222,3,15.217
150,Granite 4.1 3B,IBM,granite-4-1-3b,granite 4 1 3b,Provisional,8.0764,5.769,150,8,14,2,2,0.2729,0.3641,2,1.189,2,4.454,3,16.089,4,9.283,3,9.963
151,Qwen3.5 0.8B,Alibaba,qwen3-5-0-8b-non-reasoning,qwen3 5 0 8b,Provisional,7.6979,5.4945,152,9,15,2,2,0.2707,0.3641,2,0.123,2,6.982,3,15.737,5,2.123,3,14.445
152,Gemma 3 4B,Google,gemma-3-4b,gemma 3 4b,Provisional,7.6633,5.522,151,10,16,2,2,0.2604,0.3641,2,0.502,2,6.297,4,11.146,5,6.448,3,14.45
153,Gemma 3n E4B,Google,gemma-3n-e4b,gemma 3n e4b,Provisional,4.6067,3.3051,153,10,16,2,2,0.2604,0.3641,2,0.585,2,1.886,4,11.341,5,5.946,3,3.612
