slug,model,missing_core_count,missing_core_items,empty_boards,reason
hermes-4-llama-3-1-405b-reasoning,Hermes 4 405B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
hermes-4-llama-3-1-70b-reasoning,Hermes 4 70B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
hy3-preview,Hy3-preview,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
hyperclova-x-seed-think-32b,HyperCLOVA X SEED Think (32B),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
intellect-3,INTELLECT-3,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
jamba-1-5-large,Jamba 1.5 Large,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
jamba-1-5-mini,Jamba 1.5 Mini,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
jamba-1-6-large,Jamba 1.6 Large,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
jamba-1-6-mini,Jamba 1.6 Mini,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
jamba-1-7-large,Jamba 1.7 Large,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
jamba-1-7-mini,Jamba 1.7 Mini,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
jamba-reasoning-3b,Jamba Reasoning 3B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
jt-35b-flash,JT-35B-Flash,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
jt-4-1-flash-236b-a21b,JT-4.1 Flash 236B A21B,4,LiveCodeBench; AutomationBench-AA; τ³-Banking; IFBench,agentic-tool-work,board_missing_both; missing_at_least_four
jt-mini,JT-MINI,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
k-exaone,K-EXAONE,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
k2-think-v2,K2 Think V2,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
kat-coder-pro-v1,KAT-Coder-Pro V1,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
kimi-k2,Kimi K2,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
kimi-k2-0905,Kimi K2 0905,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
kimi-k2-thinking,Kimi K2 Thinking,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
kimi-linear-48b-a3b-instruct,Kimi Linear 48B A3B Instruct,4,AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy,agentic-tool-work,board_missing_both; missing_at_least_four
lfm-40b,LFM 40B,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
lfm2-1-2b,LFM2 1.2B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
lfm2-2-6b,LFM2 2.6B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
lfm2-24b-a2b,LFM2 24B A2B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
lfm2-5-1-2b-instruct,LFM2.5-1.2B-Instruct,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
lfm2-5-1-2b-thinking,LFM2.5-1.2B-Thinking,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
lfm2-5-8b-a1b,LFM2.5-8B-A1B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
lfm2-5-vl-1-6b,LFM2.5-VL-1.6B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
lfm2-8b-a1b,LFM2 8B A1B,3,AutomationBench-AA; τ³-Banking; AA-LCR v1.1,agentic-tool-work,board_missing_both
ling-1t,Ling-1T,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
ling-2-6-1t,Ling-2.6-1T,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
ling-flash-2-0,Ling-flash-2.0,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
ling-mini-2-0,Ling-mini-2.0,3,AutomationBench-AA; τ³-Banking; AA-LCR v1.1,agentic-tool-work,board_missing_both
llama-2-chat-13b,Llama 2 Chat 13B,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
llama-2-chat-70b,Llama 2 Chat 70B,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
llama-2-chat-7b,Llama 2 Chat 7B,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
llama-3-1-instruct-405b,Llama 3.1 405B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
llama-3-1-instruct-70b,Llama 3.1 70B,3,AutomationBench-AA; τ³-Banking; AA-LCR v1.1,agentic-tool-work,board_missing_both
llama-3-1-instruct-8b,Llama 3.1 8B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
llama-3-1-nemotron-instruct-70b,Llama 3.1 Nemotron 70B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
llama-3-1-nemotron-nano-4b-reasoning,Llama 3.1 Nemotron Nano 4B v1.1,5,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy,agentic-tool-work,board_missing_both; missing_at_least_four
llama-3-1-nemotron-ultra-253b-v1-reasoning,Llama Nemotron Ultra,3,AutomationBench-AA; τ³-Banking; AA-LCR v1.1,agentic-tool-work,board_missing_both
llama-3-2-instruct-11b-vision,Llama 3.2 11B (Vision),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
llama-3-2-instruct-1b,Llama 3.2 1B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
llama-3-2-instruct-3b,Llama 3.2 3B,5,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy,agentic-tool-work,board_missing_both; missing_at_least_four
llama-3-2-instruct-90b-vision,Llama 3.2 90B (Vision),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
llama-3-3-instruct-70b,Llama 3.3 70B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
llama-3-3-nemotron-super-49b-reasoning,Llama 3.3 Nemotron Super 49B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
llama-3-instruct-70b,Llama 3 70B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
llama-3-instruct-8b,Llama 3 8B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
llama-65b,Llama 65B,10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
llama-nemotron-super-49b-v1-5-reasoning,Llama Nemotron Super 49B v1.5,3,AutomationBench-AA; τ³-Banking; AA-LCR v1.1,agentic-tool-work,board_missing_both
longcat-flash-lite,LongCat Flash Lite,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
magistral-small,Magistral Small 1,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
mi-dm-k-2-5-pro-dec28,Mi:dm K 2.5 Pro,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
midm-250-pro-rsnsft,Mi:dm K 2.5 Pro Preview,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
mimo-v2-0206,MiMo-V2-Flash (Feb 2026),3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
mimo-v2-flash-reasoning,MiMo-V2-Flash,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
mimo-v2-omni,MiMo-V2-Omni,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
mimo-v2-omni-0327,MiMo-V2-Omni-0327,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
mimo-v2-pro,MiMo-V2-Pro,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
minicpm-v4-6-1-3b,MiniCPM-V 4.6 1.3B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
minicpm5-1b,MiniCPM5-1B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
minimax-m1-40k,MiniMax M1 40k,5,AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1,agentic-tool-work,board_missing_both; missing_at_least_four
minimax-m1-80k,MiniMax M1 80k,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
minimax-m2,MiniMax-M2,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
minimax-m2-1,MiniMax-M2.1,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
minimax-m2-5,MiniMax-M2.5,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
mistral-7b-instruct,Mistral 7B,3,Terminal-Bench effective; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
mistral-8x22b-instruct,Mixtral 8x22B,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
mistral-large,Mistral Large (Feb),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
mistral-large-2,Mistral Large 2 (Nov),3,AutomationBench-AA; τ³-Banking; AA-LCR v1.1,agentic-tool-work,board_missing_both
mistral-large-2407,Mistral Large 2 (Jul),5,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy,agentic-tool-work,board_missing_both; missing_at_least_four
mistral-medium-3,Mistral Medium 3,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
mistral-saba,Mistral Saba,8,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
mistral-small,Mistral Small (Sep),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
mistral-small-2402,Mistral Small (Feb),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
mistral-small-3,Mistral Small 3,5,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy,agentic-tool-work,board_missing_both; missing_at_least_four
mixtral-8x7b-instruct,Mixtral 8x7B,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
molmo-7b-d,Molmo 7B-D,4,AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy,agentic-tool-work,board_missing_both; missing_at_least_four
molmo2-8b,Molmo2-8B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
motif-0714,Motif 3 (Beta),4,LiveCodeBench; AutomationBench-AA; τ³-Banking; IFBench,agentic-tool-work,board_missing_both; missing_at_least_four
motif-2-12-7b,Motif-2-12.7B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
muse-spark,Muse Spark,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
nanbeige4-1-3b,Nanbeige4.1-3B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
nemotron-3-nano-omni-30b-a3b,Nemotron 3 Nano Omni 30B A3B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
nemotron-cascade-2-30b-a3b,Nemotron Cascade 2 30B A3B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
nova-lite,Nova Lite,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
nova-micro,Nova Micro,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
nova-premier,Nova Premier,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
nova-pro,Nova Pro,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
nvidia-nemotron-3-nano-4b,Nemotron 3 Nano 4B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
nvidia-nemotron-nano-12b-v2-vl-reasoning,NVIDIA Nemotron Nano 12B v2 VL,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
nvidia-nemotron-nano-9b-v2-reasoning,NVIDIA Nemotron Nano 9B V2,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
o1,o1,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
o1-mini,o1-mini,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
o1-preview,o1-preview,9,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
o1-pro,o1-pro,10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
o3,o3,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
o3-pro,o3-pro,9,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
olmo-2-32b,OLMo 2 32B,4,AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy,agentic-tool-work,board_missing_both; missing_at_least_four
olmo-2-7b,OLMo 2 7B,4,AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy,agentic-tool-work,board_missing_both; missing_at_least_four
olmo-3-1-32b-instruct,Olmo 3.1 32B Instruct,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
olmo-3-1-32b-think,Olmo 3.1 32B Think,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
olmo-3-32b-think,Olmo 3 32B Think,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
olmo-3-7b-instruct,Olmo 3 7B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
olmo-3-7b-think,Olmo 3 7B Think,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
openchat-35,OpenChat 3.5,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
palm-2,PALM-2,10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
phi-3-mini,Phi-3 Mini,5,AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1,agentic-tool-work,board_missing_both; missing_at_least_four
phi-4,Phi-4,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
phi-4-mini,Phi-4 Mini,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
phi-4-multimodal,Phi-4 Multimodal,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
pixtral-large-2411,Pixtral Large,6,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1,agentic-tool-work,board_missing_both; missing_at_least_four
qwen-chat-14b,Qwen Chat 14B,10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
qwen-chat-72b,Qwen Chat 72B,10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
qwen-turbo,Qwen2.5 Turbo,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
qwen1.5-110b-chat,Qwen1.5 Chat 110B,9,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
qwen2-5-72b-instruct,Qwen2.5 72B,3,AutomationBench-AA; τ³-Banking; AA-LCR v1.1,agentic-tool-work,board_missing_both
qwen2-5-coder-32b-instruct,Qwen2.5 Coder 32B,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
qwen2-5-coder-7b-instruct,Qwen2.5 Coder 7B ,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
qwen2-72b-instruct,Qwen2 72B,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
qwen2.5-32b-instruct,Qwen2.5 Instruct 32B,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
qwen3-0.6b-instruct-reasoning,Qwen3 0.6B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-1.7b-instruct-reasoning,Qwen3 1.7B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-235b-a22b-instruct-reasoning,Qwen3 235B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-30b-a3b-instruct-reasoning,Qwen3 30B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-4b-2507-instruct-reasoning,Qwen3 4B 2507,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-4b-instruct-reasoning,Qwen3 4B,5,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy,agentic-tool-work,board_missing_both; missing_at_least_four
qwen3-5-0-8b,Qwen3.5 0.8B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-5-27b,Qwen3.5 27B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-5-2b,Qwen3.5 2B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-5-35b-a3b,Qwen3.5 35B A3B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-5-omni-flash,Qwen3.5 Omni Flash,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-5-omni-plus,Qwen3.5 Omni Plus,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-coder-30b-a3b-instruct,Qwen3 Coder 30B A3B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-coder-480b-a35b-instruct,Qwen3 Coder 480B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-max-preview,Qwen3 Max (Preview),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-max-thinking,Qwen3 Max Thinking,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-max-thinking-preview,Qwen3 Max Thinking (Preview),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-next-80b-a3b-instruct,Qwen3 Next 80B A3B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-omni-30b-a3b-instruct,Qwen3 Omni 30B A3B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-vl-235b-a22b-instruct,Qwen3 VL 235B A22B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-vl-30b-a3b-instruct,Qwen3 VL 30B A3B,3,AutomationBench-AA; τ³-Banking; AA-LCR v1.1,agentic-tool-work,board_missing_both
qwen3-vl-32b-instruct,Qwen3 VL 32B,3,AutomationBench-AA; τ³-Banking; AA-LCR v1.1,agentic-tool-work,board_missing_both
qwen3-vl-4b-instruct,Qwen3 VL 4B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-vl-8b-instruct,Qwen3 VL 8B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwq-32b,QwQ-32B,5,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy,agentic-tool-work,board_missing_both; missing_at_least_four
r1-1776,R1 1776,10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
reka-flash,Reka Flash,10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
reka-flash-3,Reka Flash 3,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
ring-1t,Ring-1T,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
ring-flash-2-0,Ring-flash-2.0,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
sarvam-m-reasoning,Sarvam M,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
seed-oss-36b-instruct,Seed-OSS-36B-Instruct,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
solar-mini,Solar Mini,10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
solar-open-100b-reasoning,Solar Open 100B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
solar-pro-2-preview-reasoning,Solar Pro 2 (Preview),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
solar-pro-2-reasoning,Solar Pro 2,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
sonar,Sonar,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
sonar-pro,Sonar Pro,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
sonar-reasoning,Sonar Reasoning,9,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
sonar-reasoning-pro,Sonar Reasoning Pro,10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
step-3-5-flash,Step 3.5 Flash 2603,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
step-3-5-flash-0202,Step 3.5 Flash,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
step-3-vl-10b,Step3 VL 10B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
tiny-aya-global,Tiny Aya Global,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
