slug,model,missing_core_count,missing_core_items,empty_boards,reason
o3-pro,o3-pro,9,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
olmo-2-32b,OLMo 2 32B,5,SciCode; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,,missing_at_least_four
olmo-2-7b,OLMo 2 7B,5,SciCode; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,,missing_at_least_four
openchat-35,OpenChat 3.5,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
palm-2,PALM-2,10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
phi-3-mini,Phi-3 Mini,6,SciCode; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
phi-4-multimodal,Phi-4 Multimodal,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
pixtral-large-2411,Pixtral Large,7,Terminal-Bench effective; SciCode; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; instruction-context,board_missing_both; missing_at_least_four
qwen-chat-14b,Qwen Chat 14B,10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
qwen-chat-72b,Qwen Chat 72B,10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
qwen-turbo,Qwen2.5 Turbo,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
qwen1.5-110b-chat,Qwen1.5 Chat 110B,9,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
qwen2-5-72b-instruct,Qwen2.5 72B,4,SciCode; τ³-Banking; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
qwen2-5-coder-32b-instruct,Qwen2.5 Coder 32B,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
qwen2-5-coder-7b-instruct,Qwen2.5 Coder 7B ,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
qwen2-72b-instruct,Qwen2 72B,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
qwen2.5-32b-instruct,Qwen2.5 Instruct 32B,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
qwen3-4b-instruct-reasoning,Qwen3 4B,6,Terminal-Bench effective; SciCode; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding,board_missing_both; missing_at_least_four
qwen3-vl-30b-a3b-instruct,Qwen3 VL 30B A3B,4,SciCode; τ³-Banking; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
qwen3-vl-32b-instruct,Qwen3 VL 32B,4,SciCode; τ³-Banking; AA-LCR v1.1; GDP.pdf,instruction-context,board_missing_both; missing_at_least_four
qwq-32b,QwQ-32B,7,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; GDP.pdf,coding; agentic-tool-work,board_missing_both; missing_at_least_four
r1-1776,R1 1776,10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
reka-flash,Reka Flash,10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
solar-mini,Solar Mini,9,Terminal-Bench effective; SciCode; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
solar-pro-2-preview-reasoning,Solar Pro 2 (Preview),8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
sonar,Sonar,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
sonar-pro,Sonar Pro,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
sonar-reasoning,Sonar Reasoning,9,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
sonar-reasoning-pro,Sonar Reasoning Pro,10,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
tulu3-405b,Tulu3 405B,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
mistral-medium,Mistral Medium,8,Terminal-Bench effective; SciCode; τ²-Bench Telecom; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
